"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","経度","緯度","分類"
"228","303836","【旧】由良(県)5-1(平成29年廃止)","地価調査(廃止地点)","商業","由良町","大字里字宮ノ前２７６番１","","135.122","33.9604","0","0","0","0","0","0","74400","73800","73400","72300","70800","68600","66000","63000","60000","57100","53700","49900","45900","42100","39500","37400","36200","35300","","135.121760723923","33.9604045266022","地価調査基準地(廃止地点)"
"253","304018","【旧】白浜(県)-5(平成29年廃止)","地価調査(廃止地点)","住宅","白浜町","安宅字城ノ内１１１番２内","","135.465","33.5789","15300","15300","15300","15300","15300","15100","15100","15100","14900","14600","14300","13900","13600","13300","13000","12700","12400","12000","11500","11300","11000","10800","10600","10400","","135.465280579044","33.5788660939555","地価調査基準地(廃止地点)"
"255","304018","【旧】白浜(県)5-2(平成29年廃止)","地価調査(廃止地点)","商業","白浜町","日置字谷ケ地７９番２","","135.449","33.5691","0","60000","60000","59500","58800","58000","57000","56000","55000","53000","51100","49000","47100","45600","44000","42500","41000","38800","36600","33500","30500","28500","27000","26000","","135.449040634588","33.5690458296497","地価調査基準地(廃止地点)"
"284","304280","【旧】串本(県)-5(平成29年廃止)","地価調査(廃止地点)","住宅","串本町","姫字ゴウラ６２６番５外","","135.797","33.4982","46200","46200","46200","46200","46200","46000","45700","45200","44300","43000","41700","40000","38400","36700","34800","33000","31200","29100","26500","23900","21600","19800","18900","18000","","135.796904352067","33.498230447284","地価調査基準地(廃止地点)"
"285","304280","【旧】串本(県)-6(平成29年廃止)","地価調査(廃止地点)","住宅","串本町","田原字上地４７２番","","135.87","33.5363","30500","30500","30500","30500","30500","30200","30000","29700","29100","28500","27900","26900","25900","24900","24200","23300","22400","21000","19200","17400","15800","14500","13900","13200","","135.870170965928","33.5362605511453","地価調査基準地(廃止地点)"
"95","302031","【旧】橋本(県)-11(平成29年廃止)","地価調査(廃止地点)","住宅","橋本市","高野口町応其字居垣内３３０番","","135.572","34.313","0","0","0","0","0","0","50000","49000","47500","43500","40500","39000","36000","34200","33000","32600","31500","30000","28500","27100","25800","24600","23800","23100","","135.571665903069","34.3130022251786","地価調査基準地(廃止地点)"
"276","304247","【旧】古座川(県)5-1(平成29年廃止)","地価調査(廃止地点)","商業","古座川町","高池字江崎３４番５外","","135.822","33.5245","69000","69000","69000","69000","68000","67200","65900","65000","64000","62400","60000","57000","53600","49900","46500","43300","40000","36800","33200","30000","27200","25900","25100","24300","","135.82223210766","33.5244704230335","地価調査基準地(廃止地点)"
"130","302066","【旧】田辺(県)-17(平成29年廃止)","地価調査(廃止地点)","住宅","田辺市","下川下字打越７５４番外","","135.587","33.7445","8000","8000","8000","8000","8000","7900","7850","7850","7800","7650","7500","7300","7100","6900","6650","6400","6390","6290","6150","6010","5870","5810","5790","5770","","135.587187071469","33.7444794306242","地価調査基準地(廃止地点)"
"275","304247","【旧】古座川(県)-3(平成29年廃止)","地価調査(廃止地点)","住宅","古座川町","高池字江崎１８２番","","135.821","33.526","52000","52000","52000","52000","52000","51500","51100","50800","50300","49100","47800","45500","43300","41000","38900","36500","34200","31700","29000","26400","24000","23200","22700","21900","","135.821282051333","33.5260104103722","地価調査基準地(廃止地点)"
"288","302066","【旧】和歌山(林)-2(平成29年廃止)","地価調査(廃止地点)","林地","田辺市","龍神村甲斐ノ川字玉谷１２９８番２","","135.433","33.8968","0","0","0","0","0","0","28000","27000","26500","26500","25800","24700","21500","19000","18000","17000","15400","14000","12700","11500","11000","10800","10600","10400","","135.43264179258","33.8967886412104","地価調査基準地(廃止地点)"
